sample_id,relative_path,private_object_id,sha256,source_group_id,parent_sample_id,source_type,provider_code,label,tamper_operations,tamper_metadata,split,consent_or_licence_reference,contains_personal_data,anonymisation_status,generated_seed,notes
controlled-original-0001,images/controlled-original-0001.png,,4b5d7c1f52a6cfb575c05da52c504cc499705b64adb594aba18a32e5d3c2a766,controlled-group-0001,,synthetic,GENERIC_MOMO,genuine,,,validation,SYNTHETIC_GENERATOR_V1,false,not_applicable,20260811,Generic controlled demonstration; no provider branding or personal data.
controlled-original-0002,images/controlled-original-0002.png,,e5d35c4c1b47791c3eb366b9a68212d0ce510a22cc0c4dddb7bce02d318614f7,controlled-group-0002,,synthetic,GENERIC_MOMO,genuine,,,train,SYNTHETIC_GENERATOR_V1,false,not_applicable,20260812,Generic controlled demonstration; no provider branding or personal data.
controlled-original-0003,images/controlled-original-0003.png,,e25bf8b9c1aa14ff1e4c15580ebe79c0c58cd1f2bbf98e415ee1c11782a34c17,controlled-group-0003,,synthetic,GENERIC_MOMO,genuine,,,test,SYNTHETIC_GENERATOR_V1,false,not_applicable,20260813,Generic controlled demonstration; no provider branding or personal data.
controlled-original-0004,images/controlled-original-0004.png,,dc80560645c1b9628a7d0fd1f5c0156f2a1571b2459658931e6bc6ee60de6c50,controlled-group-0004,,synthetic,GENERIC_MOMO,genuine,,,train,SYNTHETIC_GENERATOR_V1,false,not_applicable,20260814,Generic controlled demonstration; no provider branding or personal data.
controlled-original-0005,images/controlled-original-0005.png,,236d9bd41d46fc7709deb3f25ec6887c0cd0bdf26f5383de700cf0342fdaa9d0,controlled-group-0005,,synthetic,GENERIC_MOMO,genuine,,,train,SYNTHETIC_GENERATOR_V1,false,not_applicable,20260815,Generic controlled demonstration; no provider branding or personal data.
controlled-original-0006,images/controlled-original-0006.png,,792e5379a4c99a5e0399d164a89f8812ee588a94691a3392ff57fa6d4424bc82,controlled-group-0006,,synthetic,GENERIC_MOMO,genuine,,,train,SYNTHETIC_GENERATOR_V1,false,not_applicable,20260816,Generic controlled demonstration; no provider branding or personal data.
controlled-tamper-0001,images/controlled-tamper-0001.png,,d3210d52aad8b3df6c7c0aead3ee4d0e0da28eee94ee3bc6bcad289b6c77a4c8,controlled-group-0001,controlled-original-0001,controlled_tamper,GENERIC_MOMO,fraudulent,amount_replace;clone_paste,"{""operations"":[{""box"":[250,275,545,330],""name"":""amount_replace""},{""box"":[92,620,192,680],""name"":""clone_paste"",""source_box"":[440,620,540,680]}]}",validation,SYNTHETIC_GENERATOR_V1,false,not_applicable,20260811,Generic controlled demonstration; no provider branding or personal data.
controlled-tamper-0002,images/controlled-tamper-0002.jpg,,c26bcbb03e6c5e943117eba279ad019b3e038d42456f5bf4899e31485495194e,controlled-group-0002,controlled-original-0002,controlled_tamper,GENERIC_MOMO,fraudulent,reference_replace;recompress,"{""operations"":[{""box"":[250,430,545,485],""name"":""reference_replace""},{""box"":[0,0,640,900],""name"":""recompress"",""quality"":46}]}",train,SYNTHETIC_GENERATOR_V1,false,not_applicable,20260812,Generic controlled demonstration; no provider branding or personal data.
controlled-tamper-0003,images/controlled-tamper-0003.png,,08352cc822574334e7f1859d827e5dabd93ad0aadde0230c28cfa2dd6fb0b55f,controlled-group-0003,controlled-original-0003,controlled_tamper,GENERIC_MOMO,fraudulent,recipient_replace;font_mismatch,"{""operations"":[{""box"":[250,352,545,407],""name"":""recipient_replace""},{""box"":[250,352,560,412],""name"":""font_mismatch""}]}",test,SYNTHETIC_GENERATOR_V1,false,not_applicable,20260813,Generic controlled demonstration; no provider branding or personal data.
controlled-tamper-0004,images/controlled-tamper-0004.png,,5e1327942ab5d26a333e15ef867be14be201c597aa2a20a2c04cd6c002d0abe4,controlled-group-0004,controlled-original-0004,controlled_tamper,GENERIC_MOMO,fraudulent,crop;misalignment,"{""operations"":[{""box"":[18,24,626,880],""name"":""crop""},{""box"":[250,275,545,330],""name"":""misalignment""}]}",train,SYNTHETIC_GENERATOR_V1,false,not_applicable,20260814,Generic controlled demonstration; no provider branding or personal data.
controlled-tamper-0005,images/controlled-tamper-0005.jpg,,114c0849822c7a598ef0affc30e52da44243e6f1aa82d23157264421f3b537b6,controlled-group-0005,controlled-original-0005,controlled_tamper,GENERIC_MOMO,fraudulent,amount_replace;reference_replace;recompress,"{""operations"":[{""box"":[250,275,545,330],""name"":""amount_replace""},{""box"":[250,430,545,485],""name"":""reference_replace""},{""box"":[0,0,640,900],""name"":""recompress"",""quality"":46}]}",train,SYNTHETIC_GENERATOR_V1,false,not_applicable,20260815,Generic controlled demonstration; no provider branding or personal data.
controlled-tamper-0006,images/controlled-tamper-0006.png,,8c9b022f92c210b2e3b7714d2e87c7506e98b6f527e5fe4ac64ee18d17f95487,controlled-group-0006,controlled-original-0006,controlled_tamper,GENERIC_MOMO,fraudulent,recipient_replace;clone_paste;crop,"{""operations"":[{""box"":[250,352,545,407],""name"":""recipient_replace""},{""box"":[92,620,192,680],""name"":""clone_paste"",""source_box"":[440,620,540,680]},{""box"":[18,24,626,880],""name"":""crop""}]}",train,SYNTHETIC_GENERATOR_V1,false,not_applicable,20260816,Generic controlled demonstration; no provider branding or personal data.
