sample_id,source_group_id,split,label,label_provenance,ocr_required_field_coverage,ocr_mean_confidence,ocr_min_critical_confidence,ocr_provider_confidence,critical_correction_count,total_correction_count,transaction_reference_valid,amount_valid,phone_valid,timestamp_valid,status_text_consistent,ocr_text_density,template_anchor_coverage,blur_variance,contrast_stddev,aspect_ratio_deviation,crop_proximity,metadata_inconsistency_count,ela_mean,ela_p95,noise_regional_cv,text_baseline_deviation,text_size_cv,exact_duplicate_count,nearest_phash_distance,cnn_tamper_probability,cnn_available,reference_candidate_found,amount_match,currency_match,phone_match,name_similarity,timestamp_difference_minutes,reference_status_match,verification_mismatch_count,reused_reference_count,nearest_phash_missing,cnn_probability_missing,reference_comparison_missing,name_similarity_missing,timestamp_difference_missing,provider_code,template_code,verification_status,image_evidence_status,ocr_engine_status
structured-0001-fraudulent,controlled-group-0001,validation,FRAUDULENT,declared-controlled-scenario-v1,0.872939,0.772173,0.650047,0.815726,1.0,4.0,1.0,1.0,1.0,1.0,0.0,0.704629,0.74578,567.299,54.486,0.065284,0.537329,1.0,26.6447,81.6935,1.069584,0.349011,0.774733,2.0,1.632,,0.0,1.0,0.0,1.0,0.0,0.488312,183.346,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,GENERIC_MOMO,GENERIC_V1,MISMATCH,AVAILABLE,AVAILABLE
structured-0001-genuine,controlled-group-0001,validation,GENUINE,declared-controlled-scenario-v1,0.956864,0.937254,0.867168,0.926082,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.686531,0.949747,717.942,72.718,0.019021,0.798968,0.0,1.6642,7.7428,0.104489,0.024952,0.067235,0.0,20.941,,0.0,1.0,1.0,1.0,1.0,0.988235,2.029,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,GENERIC_MOMO,GENERIC_V1,VERIFIED,AVAILABLE,AVAILABLE
structured-0001-suspicious,controlled-group-0001,validation,SUSPICIOUS,declared-controlled-scenario-v1,0.555278,0.616505,0.260365,0.437236,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.398311,0.583372,164.53,33.649,0.21637,0.119662,0.0,5.4812,12.8465,0.321041,0.200128,0.343422,0.0,,,0.0,0.0,,,,,,,0.0,0.0,1.0,1.0,1.0,1.0,1.0,GENERIC_MOMO,GENERIC_V1,UNVERIFIED,AVAILABLE,AVAILABLE
structured-0002-fraudulent,controlled-group-0002,train,FRAUDULENT,declared-controlled-scenario-v1,0.898201,0.727484,0.662182,0.834588,3.0,4.0,1.0,1.0,1.0,1.0,0.0,0.693307,0.708338,483.812,48.437,0.093627,0.565849,2.0,27.3243,70.73,1.249712,0.410515,0.665408,2.0,2.008,,0.0,1.0,0.0,1.0,0.0,0.445028,192.588,0.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,GENERIC_MOMO,GENERIC_V1,MISMATCH,AVAILABLE,AVAILABLE
structured-0002-genuine,controlled-group-0002,train,GENUINE,declared-controlled-scenario-v1,0.967199,0.951563,0.860085,0.897157,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.755389,0.934691,667.327,72.676,0.024099,0.747959,0.0,2.2073,7.9726,0.070789,0.017292,0.091981,0.0,15.499,,0.0,1.0,1.0,1.0,1.0,0.976857,1.329,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,GENERIC_MOMO,GENERIC_V1,VERIFIED,AVAILABLE,AVAILABLE
structured-0002-suspicious,controlled-group-0002,train,SUSPICIOUS,declared-controlled-scenario-v1,0.637653,0.517071,0.370654,0.545782,1.0,2.0,0.0,1.0,1.0,1.0,0.0,0.472416,0.588778,158.876,25.031,0.150973,0.187205,0.0,6.8693,15.6001,0.280185,0.208518,0.254496,0.0,,,0.0,0.0,,,,,,,0.0,0.0,1.0,1.0,1.0,1.0,1.0,GENERIC_MOMO,GENERIC_V1,UNVERIFIED,AVAILABLE,AVAILABLE
structured-0003-fraudulent,controlled-group-0003,test,FRAUDULENT,declared-controlled-scenario-v1,0.845126,0.765354,0.681541,0.81043,1.0,5.0,1.0,1.0,1.0,1.0,0.0,0.632456,0.763991,462.549,61.54,0.062304,0.572786,3.0,29.5354,76.8019,1.098535,0.378802,0.647329,0.0,2.371,,0.0,1.0,0.0,1.0,0.0,0.424534,167.662,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,GENERIC_MOMO,GENERIC_V1,MISMATCH,AVAILABLE,AVAILABLE
structured-0003-genuine,controlled-group-0003,test,GENUINE,declared-controlled-scenario-v1,0.961321,0.940211,0.88295,0.931715,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.756577,0.963888,781.57,68.922,0.015666,0.815246,0.0,2.1429,8.1168,0.079683,0.023749,0.090983,0.0,20.745,,0.0,1.0,1.0,1.0,1.0,0.980562,3.089,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,GENERIC_MOMO,GENERIC_V1,VERIFIED,AVAILABLE,AVAILABLE
structured-0003-suspicious,controlled-group-0003,test,SUSPICIOUS,declared-controlled-scenario-v1,0.568584,0.606767,0.288252,0.50199,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.347748,0.43938,107.68,28.267,0.161935,0.159963,1.0,5.512,17.6589,0.434584,0.252197,0.308048,0.0,,,0.0,0.0,,,,,,,0.0,0.0,1.0,1.0,1.0,1.0,1.0,GENERIC_MOMO,GENERIC_V1,UNVERIFIED,AVAILABLE,AVAILABLE
structured-0004-fraudulent,controlled-group-0004,train,FRAUDULENT,declared-controlled-scenario-v1,0.847362,0.744216,0.675779,0.789085,3.0,2.0,1.0,1.0,1.0,1.0,0.0,0.659935,0.736549,537.284,46.402,0.059413,0.530495,3.0,32.2157,66.6652,1.103439,0.47012,0.63086,0.0,0.873,,0.0,1.0,0.0,1.0,0.0,0.47696,214.082,0.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,GENERIC_MOMO,GENERIC_V1,MISMATCH,AVAILABLE,AVAILABLE
