task_id,phase,phase_name,priority,title,description,dependencies,requirement_ids,deliverable,acceptance_test,status,owner,notes
P00-T001,P00,"Repository preflight, scope lock and execution foundation",P0,"Record repository remote, default branch, current branch, HEAD SHA, worktree status, tracked languages, package managers","Record repository remote, default branch, current branch, HEAD SHA, worktree status, tracked languages, package managers and existing CI.",,"NFR-MNT-001,NFR-DATA-001",Gap analysis and repository inventory; Root engineering policy and ignore files; Status/decision/changelog/traceability baseline; Cross-platform project scripts; First pushed phase branch,`python scripts/doctor.py` reports toolchain and missing dependencies; `python scripts/check_secrets.py` finds no committed secret; `git status --short` is clean after commit; Repository can be cloned and documentation paths resolve,Complete,Codex,Completed locally on 2026-08-09; no remote existed to record.
P00-T002,P00,"Repository preflight, scope lock and execution foundation",P0,"Search for existing mobile, web, API, database, ML, documentation and deployment code","Search for existing mobile, web, API, database, ML, documentation and deployment code. Produce `docs/implementation/P00_GAP_ANALYSIS.md` mapping retained, missing, conflicting and obsolete elements.",,"NFR-MNT-001,NFR-DATA-001",Gap analysis and repository inventory; Root engineering policy and ignore files; Status/decision/changelog/traceability baseline; Cross-platform project scripts; First pushed phase branch,`python scripts/doctor.py` reports toolchain and missing dependencies; `python scripts/check_secrets.py` finds no committed secret; `git status --short` is clean after commit; Repository can be cloned and documentation paths resolve,Complete,Codex,Gap analysis created at docs/implementation/P00_GAP_ANALYSIS.md.
P00-T003,P00,"Repository preflight, scope lock and execution foundation",P0,Copy or preserve this implementation package in the repository,Copy or preserve this implementation package in the repository. Ensure root `AGENTS.md` applies.,,"NFR-MNT-001,NFR-DATA-001",Gap analysis and repository inventory; Root engineering policy and ignore files; Status/decision/changelog/traceability baseline; Cross-platform project scripts; First pushed phase branch,`python scripts/doctor.py` reports toolchain and missing dependencies; `python scripts/check_secrets.py` finds no committed secret; `git status --short` is clean after commit; Repository can be cloned and documentation paths resolve,Complete,Codex,Package preserved at repository root and AGENTS.md applies repository-wide.
P00-T004,P00,"Repository preflight, scope lock and execution foundation",P0,Create `IMPLEMENTATION_STATUS,"Create `IMPLEMENTATION_STATUS.md`, `DECISION_LOG.md`, `CHANGELOG.md` and traceability/backlog files if absent; never reset completed evidence.",,"NFR-MNT-001,NFR-DATA-001",Gap analysis and repository inventory; Root engineering policy and ignore files; Status/decision/changelog/traceability baseline; Cross-platform project scripts; First pushed phase branch,`python scripts/doctor.py` reports toolchain and missing dependencies; `python scripts/check_secrets.py` finds no committed secret; `git status --short` is clean after commit; Repository can be cloned and documentation paths resolve,Complete,Codex,Persistent status and traceability files preserved and updated.
P00-T005,P00,"Repository preflight, scope lock and execution foundation",P0,Create `,"Create `.gitignore`, `.editorconfig`, `.gitattributes`, root README and a security note. Exclude `.env*` except `.env.example`, private uploads, datasets, model binaries, caches, build output and coverage output.",,"NFR-MNT-001,NFR-DATA-001",Gap analysis and repository inventory; Root engineering policy and ignore files; Status/decision/changelog/traceability baseline; Cross-platform project scripts; First pushed phase branch,`python scripts/doctor.py` reports toolchain and missing dependencies; `python scripts/check_secrets.py` finds no committed secret; `git status --short` is clean after commit; Repository can be cloned and documentation paths resolve,Complete,Codex,Root policy documentation and ignore rules created.
P00-T006,P00,"Repository preflight, scope lock and execution foundation",P0,Choose and document Node and Python versions,Choose and document Node and Python versions. Use Python 3.12 unless the target machine demonstrates an incompatible dependency; record any change.,,"NFR-MNT-001,NFR-DATA-001",Gap analysis and repository inventory; Root engineering policy and ignore files; Status/decision/changelog/traceability baseline; Cross-platform project scripts; First pushed phase branch,`python scripts/doctor.py` reports toolchain and missing dependencies; `python scripts/check_secrets.py` finds no committed secret; `git status --short` is clean after commit; Repository can be cloned and documentation paths resolve,Complete,Codex,Python 3.12 and Node 22 recorded in version files and ADR-011.
P00-T007,P00,"Repository preflight, scope lock and execution foundation",P0,Create cross-platform scripts: `scripts/bootstrap,"Create cross-platform scripts: `scripts/bootstrap.py`, `scripts/verify.py`, `scripts/check_secrets.py` and `scripts/doctor.py`. Initially, scripts may report unimplemented project sections but must fail honestly.",,"NFR-MNT-001,NFR-DATA-001",Gap analysis and repository inventory; Root engineering policy and ignore files; Status/decision/changelog/traceability baseline; Cross-platform project scripts; First pushed phase branch,`python scripts/doctor.py` reports toolchain and missing dependencies; `python scripts/check_secrets.py` finds no committed secret; `git status --short` is clean after commit; Repository can be cloned and documentation paths resolve,Complete,Codex,Scripts created and P00 quick verification passes; all-mode reports P01+ sections as blocked.
P00-T008,P00,"Repository preflight, scope lock and execution foundation",P0,Create GitHub issue labels/milestones or a local equivalent derived from `backlog,Create GitHub issue labels/milestones or a local equivalent derived from `backlog.csv`. Do not spend the phase implementing features.,,"NFR-MNT-001,NFR-DATA-001",Gap analysis and repository inventory; Root engineering policy and ignore files; Status/decision/changelog/traceability baseline; Cross-platform project scripts; First pushed phase branch,`python scripts/doctor.py` reports toolchain and missing dependencies; `git status --short` is clean after commit; Repository can be cloned and documentation paths resolve,Complete,Codex,Local equivalent created at docs/implementation/LOCAL_BACKLOG.md because no remote exists.
P00-T009,P00,"Repository preflight, scope lock and execution foundation",P0,"Create the phase branch, commit the foundation, push it and record the remote branch","Create the phase branch, commit the foundation, push it and record the remote branch.",,"NFR-MNT-001,NFR-DATA-001",Gap analysis and repository inventory; Root engineering policy and ignore files; Status/decision/changelog/traceability baseline; Cross-platform project scripts; First pushed phase branch,`python scripts/doctor.py` reports toolchain and missing dependencies; `python scripts/check_secrets.py` finds no committed secret; `git status --short` is clean after commit; Repository can be cloned and documentation paths resolve,Complete,Codex,main and codex/p00-preflight-foundation pushed successfully to origin on 2026-08-09.
P01-T001,P01,"Monorepo, API skeleton and local infrastructure",P0,Create the monorepo layout defined in `03_ARCHITECTURE_AND_REPOSITORY_SPEC,"Create the monorepo layout defined in `03_ARCHITECTURE_AND_REPOSITORY_SPEC.md`: `apps/mobile`, `apps/admin`, `services/api`, `ml`, `docs`, `infra`, `scripts` and shared contract locations.",P00,"FR-AUD-003,FR-AUD-005,NFR-INT-001,NFR-MNT-001",Runnable Flask API; PostgreSQL local service; OpenAPI skeleton; Backend CI-ready quality configuration; Local setup documentation,Health endpoint returns service version and no secret data; Ready endpoint fails when PostgreSQL is unavailable and passes when available; Unknown route returns standard JSON error envelope; Clean Docker build succeeds; Backend lint/type/unit smoke tests pass,Complete,Codex,Specified monorepo boundaries and shared contract location created without crossing into later product phases.
